,country,variety,points
119,Portugal,Portuguese Red,86
120,US,Pinot Noir,91
121,US,Pinot Noir,91
122,US,Sparkling Blend,91
123,US,Chardonnay,91
124,US,Pinot Noir,91
125,US,Pinot Noir,91
126,US,Zinfandel,90
127,US,Cabernet Sauvignon,90
128,Spain,Tempranillo,90
129,Italy,White Blend,90
130,Italy,Greco,90
131,US,Chardonnay,90
132,US,Barbera,90
133,US,Chardonnay,90
134,US,Cabernet Sauvignon,90
135,US,Grenache,90
136,US,Zinfandel,90
137,US,Rhône-style Red Blend,90
138,Spain,Tempranillo,90
139,France,Rosé,90
140,France,Rosé,90
141,US,Sauvignon Blanc,90
142,US,Grenache,90
143,US,Chardonnay,90
144,US,Albariño,90
145,US,Pinot Noir,90
146,US,Zinfandel,90
147,Spain,Albariño,90
148,US,Syrah,90
149,US,Malvasia Bianca,90
150,US,Pinot Noir,89
151,Greece,White Blend,89
152,Spain,Sparkling Blend,89
153,Greece,Assyrtiko,89
154,Greece,Malagouzia,89
155,Chile,Carmenère,89
156,France,Bordeaux-style Red Blend,89
157,US,Sangiovese,89
158,Spain,Tempranillo,89
159,Chile,Red Blend,89
160,US,Bordeaux-style Red Blend,89
161,US,Pinot Noir,89
162,Spain,Tempranillo Blend,89
163,US,Syrah,89
164,US,Viognier,89
165,US,Pinot Noir,89
166,Italy,Red Blend,89
167,Italy,Red Blend,89
168,Portugal,Touriga Nacional,89
169,US,Chardonnay,89
170,US,Pinot Noir,89
171,Chile,Cabernet Sauvignon-Cabernet Franc,89
172,Greece,Agiorgitiko,89
173,US,Pinot Noir,89
174,France,Rhône-style Red Blend,89
175,Spain,Tinta de Toro,89
176,Italy,Sangiovese,89
177,Italy,Red Blend,89
178,US,Cabernet Sauvignon,89
179,Chile,Red Blend,89
180,US,Chardonnay,88
181,US,Syrah,88
182,US,Pinot Noir,88
183,US,Picpoul,88
184,Argentina,Bordeaux-style Red Blend,88
185,US,Bordeaux-style Red Blend,88
186,US,Zinfandel,88
187,US,Zinfandel,88
188,Spain,Godello,88
189,Spain,Red Blend,87
190,Argentina,Malbec,87
191,France,Bordeaux-style Red Blend,87
192,France,Bordeaux-style Red Blend,87
193,France,Bordeaux-style Red Blend,87
194,France,Bordeaux-style Red Blend,87
195,France,Bordeaux-style Red Blend,87
196,US,Chardonnay,87
197,US,Malbec,87
198,US,Chardonnay,87
199,US,Riesling,87
200,US,Riesling,87
201,US,Cabernet Franc,87
202,France,Bordeaux-style Red Blend,87
203,France,Bordeaux-style Red Blend,87
204,US,Gewürztraminer,87
205,US,Merlot,87
206,US,Cabernet Sauvignon,87
207,US,Cabernet Franc,87
208,US,Grenache,87
209,Spain,Sparkling Blend,87
210,Portugal,Portuguese Red,93
211,Italy,Nebbiolo,93
212,US,Zinfandel,93
213,Italy,Nebbiolo,93
214,France,Riesling,93
215,France,Riesling,93
216,Morocco,Syrah-Grenache,93
217,Italy,Nebbiolo,93
218,France,Riesling,93
219,France,Riesling,93
220,US,G-S-M,93
221,US,Mourvèdre,93
222,France,Riesling,93
223,US,Zinfandel,93
224,Italy,Nebbiolo,93
225,France,Bordeaux-style White Blend,93
226,US,Syrah,93
227,US,Cabernet Sauvignon,93
228,US,Syrah,93
229,Portugal,Portuguese Red,93
230,US,Cabernet Sauvignon,93
231,US,Cabernet Sauvignon,93
232,US,Petit Verdot,93
233,US,Cabernet Sauvignon,93
234,Italy,Nebbiolo,93
235,France,Riesling,92
236,France,Riesling,92
237,France,Riesling,92
238,Portugal,Portuguese Red,92
239,Italy,Nebbiolo,92
240,France,Bordeaux-style Red Blend,88
241,France,Bordeaux-style White Blend,88
242,France,Bordeaux-style White Blend,88
243,France,Bordeaux-style Red Blend,88
244,France,Bordeaux-style White Blend,88
245,US,Chardonnay,88
246,US,Pinot Noir,88
247,Romania,Rosé,88
248,US,Chardonnay,88
249,US,Rhône-style White Blend,88
250,US,Merlot,88
251,Italy,Nebbiolo,88
252,US,Pinot Noir,88
253,US,Pinot Noir,88
254,US,Muscat,88
255,Italy,Nebbiolo,88
256,US,Sauvignon Blanc,88
257,US,Pinot Noir,88
258,Italy,Nebbiolo,88
259,Spain,Tempranillo,88
260,Spain,Tempranillo Blend,88
261,France,Chenin Blanc-Chardonnay,88
262,US,Cabernet Sauvignon-Merlot,88
263,US,Red Blend,88
264,Italy,Nebbiolo,88
265,France,Sauvignon Blanc,88
266,US,Pinot Grigio,88
267,US,Mourvèdre,88
268,US,Chardonnay,88
269,Argentina,Cabernet Sauvignon,88
270,France,Pinot Noir,92
271,France,Chardonnay,92
272,US,Chardonnay,92
273,US,Rhône-style Red Blend,92
274,US,Sparkling Blend,92
275,US,Pinot Noir,92
276,Italy,Pinot Bianco,92
277,Portugal,Alvarinho,92
278,Portugal,Portuguese White,92
279,US,Pinot Noir,92
280,Italy,Garganega,92
281,Italy,Sauvignon,92
282,France,Malbec,92
283,France,Bordeaux-style Red Blend,92
284,US,Cabernet Sauvignon,92
285,US,Syrah,92
286,France,Chardonnay,91
287,France,Bordeaux-style Red Blend,91
288,France,Chardonnay,91
289,US,Pinot Noir,91
290,France,Pinot Noir,91
291,Portugal,Touriga Nacional,91
292,US,Pinot Gris,91
293,US,Syrah,91
294,France,Gros and Petit Manseng,91
295,US,Pinot Noir,91
296,Italy,Sauvignon,91
297,Italy,Pinot Grigio,91
298,US,Pinot Noir,91
299,US,Zinfandel,91
300,US,Syrah,94
301,US,Riesling,94
302,Italy,Red Blend,94
303,US,Riesling,94
304,US,Pinot Noir,94
305,New Zealand,Chardonnay,94
306,US,Pinot Noir,94
307,US,Pinot Noir,94
308,US,Pinot Noir,94
309,US,Pinot Noir,94
310,US,Pinot Noir,94
311,Italy,Garganega,94
312,Italy,Garganega,94
313,US,Cabernet Sauvignon,94
314,US,Pinot Noir,94
315,US,Cabernet Sauvignon,94
316,US,Sparkling Blend,94
317,US,Pinot Noir,94
318,France,Tannat-Cabernet,94
319,US,Syrah,94
320,France,Provence red blend,94
321,Spain,Tempranillo Blend,94
322,France,Rosé,94
323,Spain,Red Blend,94
324,US,Cabernet Sauvignon,94
325,France,Provence red blend,94
326,Argentina,Cabernet Sauvignon,94
327,France,Rosé,94
328,France,Malbec,94
329,US,Chardonnay,94
330,Italy,Nebbiolo,91
331,Germany,Riesling,91
332,US,Cabernet Sauvignon,91
333,Spain,Albariño,91
334,US,Sauvignon Blanc,91
335,Portugal,Alicante Bouschet,91
336,US,Rhône-style White Blend,91
337,US,Pinot Noir,91
338,US,Syrah,91
339,Italy,Nebbiolo,91
340,Italy,Nebbiolo,91
341,US,Cabernet Sauvignon,91
342,Italy,Nebbiolo,91
343,US,Pinot Noir,91
344,Portugal,Rhône-style Red Blend,91
345,Portugal,Aragonês,91
346,US,Chardonnay,91
347,US,Chardonnay,91
348,Germany,Silvaner,91
349,Italy,Nebbiolo,91
350,US,Chardonnay,91
351,US,Pinot Noir,91
352,France,Chardonnay,91
353,Portugal,Portuguese Red,91
354,US,Sparkling Blend,91
355,Israel,Cabernet Sauvignon,91
356,US,Chardonnay,91
357,US,Pinot Noir,91
358,Italy,Nebbiolo,91
359,Spain,Tempranillo,91
360,US,Red Blend,90
361,US,Ugni Blanc,90
362,US,Grüner Veltliner,90
363,France,Pinot Noir,90
364,France,Pinot Noir,90
365,US,Pinot Noir,90
366,Italy,Frappato,90
367,Germany,Lemberger,90
368,France,Sylvaner,90
369,France,Chasselas,90
370,France,Alsace white blend,90
371,US,Pinot Gris,90
372,US,Pinot Noir,90
373,France,Pinot Noir,90
374,Italy,White Blend,90
375,Italy,White Blend,90
376,US,Albariño,90
377,Italy,Greco,90
378,Germany,Riesling,90
379,US,Cabernet Sauvignon,90
380,US,Cabernet Sauvignon,90
381,US,Merlot,90
382,US,Red Blend,90
383,Spain,Tempranillo,90
384,Germany,Früburgunder,90
385,Spain,Tempranillo,90
386,US,Cabernet Sauvignon,90
387,US,Cabernet Sauvignon,90
388,US,Rhône-style Red Blend,90
389,US,Cabernet Sauvignon,90
390,US,Chardonnay,90
391,US,Cabernet Sauvignon,90
392,Italy,Sangiovese,90
393,US,Malbec,90
394,Canada,Bordeaux-style Red Blend,90
395,Spain,Albariño,90
396,France,Pinot Noir,90
397,Italy,Sangiovese,90
398,Italy,Sangiovese,90
399,Moldova,White Blend,90
400,Italy,Sangiovese,90
401,Italy,Sangiovese,90
402,Italy,Sangiovese,90
403,US,White Blend,90
404,France,Rhône-style Red Blend,90
405,France,Rhône-style Red Blend,90
406,US,Cabernet Sauvignon,90
407,US,Sauvignon Blanc,90
408,US,Chardonnay,90
409,US,Chardonnay,90
410,Spain,White Blend,90
411,Hungary,Kekfrankos,90
412,Italy,Sangiovese,90
413,US,Chardonnay,90
414,US,Cabernet Sauvignon,90
415,US,Rhône-style Red Blend,90
416,US,Tempranillo,90
417,Italy,Sangiovese,90
418,Italy,Red Blend,90
419,Italy,Sangiovese,90
420,US,Cabernet Sauvignon,87
421,US,Zinfandel,87
422,US,Cabernet Franc,87
423,US,Grenache,87
424,Spain,Sparkling Blend,87
425,Spain,Tempranillo,87
426,US,Sauvignon Blanc,87
427,France,Bordeaux-style Red Blend,87
428,US,Chardonnay,87
429,US,Cabernet Sauvignon,87
430,US,Cabernet Sauvignon,87
431,US,Rhône-style White Blend,87
432,Italy,Sangiovese,87
433,Italy,Sangiovese,87
434,France,Bordeaux-style White Blend,87
435,US,Cabernet Sauvignon,87
436,US,Chardonnay,87
437,US,White Blend,87
438,Italy,Vermentino,87
439,Spain,Sherry,87
440,Italy,Red Blend,87
441,US,Riesling,87
442,Spain,Tempranillo,87
443,Spain,Sherry,87
444,Spain,Tempranillo Blend,87
445,US,Tempranillo,87
446,Spain,Red Blend,87
447,Italy,Sangiovese,87
448,Italy,Sangiovese,87
449,Italy,Sangiovese,87
450,Portugal,Rosé,86
451,Italy,White Blend,86
452,US,Chardonnay,86
453,US,Syrah,86
454,Portugal,Portuguese Red,86
455,Argentina,Sauvignon Blanc,86
456,US,Moscato,86
457,Portugal,Portuguese White,86
458,US,Rosé,86
459,US,Aglianico,86
460,Argentina,Malbec,86
461,South Africa,Sauvignon Blanc,86
462,US,Cabernet Sauvignon,86
463,US,Viognier,86
464,US,Merlot,86
465,US,Pinot Noir,86
466,France,White Blend,86
467,Argentina,Malbec,86
468,US,Chardonnay,86
469,Argentina,Torrontés,86
470,US,Sauvignon Blanc,86
471,Portugal,Portuguese Red,86
472,US,Primitivo,86
473,Portugal,Touriga Nacional,86
474,US,Pinot Noir,86
475,US,Red Blend,86
476,France,Semillon-Sauvignon Blanc,86
477,US,Barbera,86
478,Portugal,Portuguese Red,86
479,Portugal,Portuguese Rosé,86
480,US,Pinot Noir,89
481,Greece,Agiorgitiko,89
482,France,Grenache-Syrah,89
483,Italy,Sangiovese,89
484,France,Red Blend,89
485,France,White Blend,89
486,Germany,Riesling,89
487,Italy,Prié Blanc,89
488,US,Chardonnay,89
489,US,Bordeaux-style Red Blend,89
490,Italy,Cabernet Sauvignon,89
491,France,Negrette,89
492,US,Pinot Noir,89
493,US,Pinot Noir,89
494,US,Red Blend,89
495,Portugal,Syrah,89
496,US,Syrah,89
497,Italy,Red Blend,89
498,Italy,Cabernet Sauvignon,89
499,Spain,Red Blend,89
500,France,Grenache-Syrah,89
501,US,Zinfandel,89
502,Chile,Red Blend,89
503,US,Syrah,89
504,US,Zinfandel,89
505,US,Pinot Noir,89
506,Spain,Albariño,89
507,Italy,Red Blend,89
508,Spain,Tempranillo,89
509,Spain,Sparkling Blend,89
510,US,Chardonnay,92
511,France,Riesling,92
512,Portugal,Portuguese Red,92
513,US,Zinfandel,92
514,US,Bordeaux-style Red Blend,92
515,US,Cabernet Sauvignon,92
516,US,Red Blend,92
517,Canada,Riesling,92
518,US,Chardonnay,92
519,Portugal,Portuguese Red,92
520,US,Chardonnay,92
521,Portugal,Baga,92
522,US,Chardonnay,92
523,US,Syrah,92
524,US,Chardonnay,92
525,France,Riesling,92
526,France,Riesling,92
527,US,Chardonnay,92
528,US,Chardonnay,92
529,Hungary,Furmint,92
530,Italy,Nebbiolo,92
531,US,Viognier,92
532,Italy,Nebbiolo,92
533,France,Bordeaux-style Red Blend,92
534,Portugal,Portuguese Red,92
535,France,Riesling,92
536,US,Chardonnay,92
537,Chile,Bordeaux-style Red Blend,92
538,US,Viognier,92
539,US,Chardonnay,92
540,US,Cabernet Franc,90
541,US,Zinfandel,90
542,Germany,Riesling,90
543,France,Pinot Noir,90
544,France,Pinot Noir,90
545,US,Pinot Noir,90
546,US,Pinot Noir,90
547,Germany,Riesling,90
548,US,Carignane,90
549,Italy,White Blend,90
550,France,Chardonnay,90
551,France,Sylvaner,90
552,France,Pinot Noir,90
553,France,White Blend,90
554,France,Pinot Blanc,90
555,US,Pinot Gris,90
556,Italy,Nero d'Avola,90
557,US,Zinfandel,90
558,Italy,Moscato,90
559,Greece,Assyrtiko,90
560,US,Pinot Noir,90
561,US,Chardonnay,90
562,Italy,Frappato,90
563,US,Cabernet Sauvignon,90
564,Spain,Tempranillo,90
565,Spain,Tempranillo Blend,90
566,US,Merlot,90
567,Germany,Riesling,90
568,US,Cabernet Sauvignon,90
569,US,Cabernet Sauvignon,90
570,US,Pinot Noir,94
571,US,Pinot Noir,94
572,France,Red Blend,94
573,US,Cabernet Sauvignon,94
574,US,Chardonnay,94
575,US,Chardonnay,94
576,Italy,Friulano,94
577,France,Tannat-Cabernet,94
578,US,Pinot Noir,94
579,US,Pinot Noir,94
580,France,Malbec-Merlot,93
581,US,Pinot Noir,93
582,Austria,St. Laurent,93
583,US,Bordeaux-style Red Blend,93
584,US,Cabernet Sauvignon,93
585,US,Pinot Noir,93
586,Spain,Tempranillo,93
587,Austria,Blauburgunder,93
588,Austria,Blaufränkisch,93
589,US,Syrah,93
590,US,Chardonnay,93
591,US,Pinot Noir,93
592,US,Zinfandel,93
593,US,Chardonnay,93
594,US,Cabernet Sauvignon,93
595,Austria,Pinot Noir,93
596,US,Cabernet Sauvignon,93
597,US,Zinfandel,93
598,Spain,Red Blend,93
599,France,Provence red blend,93
600,US,Zinfandel,91
601,US,Chardonnay,91
602,US,Cabernet Sauvignon,91
603,Portugal,Portuguese White,91
604,Italy,Pinot Grigio,91
605,US,Pinot Noir,91
606,Germany,Riesling,91
607,Germany,Riesling,91
608,Germany,Riesling,91
609,Germany,Scheurebe,91
610,Germany,Riesling,91
611,Italy,White Blend,91
612,US,Pinot Gris,91
613,Portugal,Portuguese Red,91
614,US,Chardonnay,91
615,France,Pinot Noir,91
616,US,Chardonnay,91
617,US,Red Blend,91
618,US,Pinot Noir,91
619,Germany,Riesling,91
620,Germany,Riesling,91
621,Germany,Riesling,91
622,Germany,Riesling,91
623,Germany,Riesling,91
624,Germany,Riesling,91
625,US,Sauvignon Blanc,91
626,Italy,Sauvignon,91
627,France,Bordeaux-style Red Blend,91
628,Portugal,Portuguese Red,91
629,France,Chardonnay,91
630,US,Cabernet Sauvignon,90
631,Australia,Pinot Noir,90
632,Italy,Nebbiolo,90
633,Portugal,Portuguese Red,90
634,Italy,Nebbiolo,90
635,US,Bordeaux-style Red Blend,90
636,US,Gewürztraminer,90
637,Italy,Nebbiolo,90
638,Italy,Nebbiolo,90
639,Italy,Nebbiolo,90
640,Italy,Barbera,90
641,Spain,Albariño,90
642,US,Pinot Noir,90
643,France,Malbec,90
644,Portugal,Portuguese White,90
645,US,Gewürztraminer,90
646,US,Rhône-style White Blend,90
647,France,Red Blend,90
648,France,Chardonnay,90
649,Germany,Riesling,90
650,US,Cabernet Sauvignon,90
651,Italy,Barbera,90
652,US,Tempranillo,90
653,Italy,Nebbiolo,90
654,US,Pinot Noir,90
655,US,Grenache,90
656,US,Chardonnay,90
657,Italy,Nebbiolo,90
658,Italy,Nebbiolo,90
659,Italy,Nebbiolo,90
660,Australia,Pinot Noir,88
661,France,Sauvignon Blanc,88
662,Argentina,Malbec,88
663,France,Sauvignon Blanc,88
664,US,Meritage,88
665,US,Grenache,88
666,France,Bordeaux-style Red Blend,88
667,US,Chardonnay,88
668,France,Sauvignon Blanc,88
669,Italy,Nebbiolo,88
670,US,Pinot Noir,88
671,US,Gewürztraminer,88
672,France,Sauvignon Blanc,88
673,US,Pinot Noir,88
674,US,Pinot Noir,88
675,US,Viognier,88
676,Croatia,White Blend,88
677,Italy,Nebbiolo,88
678,US,Chardonnay,88
679,France,Bordeaux-style White Blend,88
680,France,Bordeaux-style White Blend,88
681,France,Bordeaux-style White Blend,88
682,France,Bordeaux-style White Blend,88
683,US,Merlot,88
684,France,Bordeaux-style White Blend,88
685,US,Pinot Noir,88
686,US,Chardonnay,88
687,US,Pinot Noir,88
688,France,Pinot Noir,88
689,Spain,Tempranillo,88
690,US,Cabernet Sauvignon,90
691,Spain,Sparkling Blend,90
692,Bulgaria,Mavrud,90
693,US,Chardonnay,90
694,US,Pinot Noir,90
695,US,Pinot Noir,90
696,US,Cabernet Franc,90
697,US,Pinot Noir,90
698,US,Syrah,90
699,Italy,Sangiovese,90
700,US,Chardonnay,90
701,Italy,Sangiovese,90
702,US,Sauvignon Blanc,90
703,US,Red Blend,90
704,US,Chardonnay,90
705,Canada,Riesling,90
706,US,Cabernet Franc,90
707,US,Sangiovese,90
708,US,Zinfandel,90
709,US,Sauvignon Blanc,90
710,US,Bordeaux-style Red Blend,90
711,Slovenia,Ribolla Gialla,90
712,US,Charbono,90
713,Italy,Sangiovese,90
714,Canada,Pinot Gris,90
715,US,Cabernet Sauvignon,90
716,Spain,Palomino,90
717,Italy,Red Blend,90
718,US,Tempranillo,90
719,France,Rosé,90
720,US,Red Blend,86
721,South Africa,Sauvignon Blanc,86
722,Argentina,Torrontés,86
723,Argentina,Malbec-Cabernet Sauvignon,86
724,South Africa,Sauvignon Blanc,86
725,US,Red Blend,85
726,France,Rosé,85
727,France,Red Blend,85
728,US,Cabernet Sauvignon,85
729,France,Pinot Noir-Gamay,85
730,Italy,Pinot Nero,85
731,Portugal,Portuguese Red,85
732,France,Rosé,85
733,France,Malbec,85
734,South Africa,Sauvignon Blanc,85
735,US,Cabernet Sauvignon,85
736,US,Merlot,85
737,Argentina,Malbec,85
738,Italy,Garganega,85
739,Argentina,White Blend,85
740,Portugal,Portuguese Red,85
741,South Africa,Chardonnay,85
742,Argentina,Bordeaux-style Red Blend,85
743,Spain,Red Blend,85
744,South Africa,Sauvignon Blanc,85
745,France,Rhône-style Red Blend,85
746,Argentina,Sparkling Blend,85
747,US,Cabernet Sauvignon,85
748,Bulgaria,Chardonnay,85
749,Israel,Chardonnay,85
750,France,Malbec,89
751,Spain,Red Blend,89
752,US,Chardonnay,89
753,US,Riesling,89
754,US,Chardonnay,89
755,France,Gros Manseng,89
756,US,Tempranillo,89
757,Italy,Red Blend,89
758,US,Petit Verdot,89
759,Italy,Red Blend,89
760,Chile,Cabernet Sauvignon,89
761,US,G-S-M,89
762,US,Pinot Noir,89
763,US,Pinot Gris,89
764,Chile,Pinot Noir,89
765,Italy,Red Blend,89
766,Chile,Syrah,89
767,US,Pinot Noir,89
768,US,Syrah,89
769,Italy,Cabernet Franc,89
770,Chile,Cabernet Sauvignon,89
771,US,Riesling,89
772,US,Rosé,89
773,US,Red Blend,89
774,Italy,Red Blend,89
775,Portugal,Portuguese Red,89
776,Portugal,Portuguese Red,89
777,Portugal,Portuguese Red,89
778,Chile,Sauvignon Blanc,89
779,France,White Blend,89
780,Italy,Sangiovese,87
781,Italy,Sangiovese,87
782,US,Cabernet Sauvignon,87
783,Italy,Sangiovese,87
784,US,Bordeaux-style Red Blend,87
785,France,Bordeaux-style Red Blend,87
786,France,Bordeaux-style White Blend,87
787,France,Bordeaux-style Red Blend,87
788,France,Bordeaux-style Red Blend,87
789,France,Bordeaux-style Red Blend,87
790,US,Bordeaux-style Red Blend,87
791,Italy,Red Blend,87
792,US,Primitivo,87
793,US,Red Blend,87
794,US,Merlot,87
795,France,Bordeaux-style Red Blend,87
796,US,Syrah,87
797,US,Sauvignon Blanc,87
798,US,Cabernet Sauvignon,87
799,US,Rhône-style White Blend,87
800,US,Syrah,87
801,US,Red Blend,87
802,US,Bordeaux-style Red Blend,87
803,US,Pinot Blanc,87
804,US,Zinfandel,87
805,US,Red Blend,87
806,US,Chardonnay,87
807,US,Gewürztraminer,87
808,US,Cabernet Sauvignon,87
809,France,Bordeaux-style Red Blend,87
810,Italy,Moscato,90
811,Greece,Assyrtiko,90
812,US,Pinot Noir,90
813,US,Chardonnay,90
814,Italy,Frappato,90
815,France,Chardonnay,90
816,France,Sylvaner,90
817,France,Pinot Noir,90
818,France,White Blend,90
819,France,Pinot Blanc,90
820,Italy,White Blend,90
821,US,Pinot Gris,90
822,US,Cabernet Sauvignon,90
823,US,Riesling,90
824,Italy,Nerello Mascalese,90
825,Australia,Shiraz,90
826,US,Merlot,90
827,US,Cabernet Sauvignon,90
828,US,Negroamaro,90
829,US,Mourvèdre,90
830,US,Barbera,90
831,US,Red Blend,90
832,US,Tempranillo,90
833,Chile,Red Blend,90
834,Spain,Tempranillo Blend,90
835,US,Rhône-style Red Blend,90
836,US,Zinfandel,90
837,US,Syrah,90
838,Germany,Riesling,90
839,US,Cabernet Franc,90
840,US,Cabernet Sauvignon,90
841,Spain,Sparkling Blend,90
842,US,Champagne Blend,90
843,US,Merlot,90
844,Spain,Sparkling Blend,90
845,US,Cabernet Sauvignon,90
846,US,Pinot Noir,90
847,France,Chardonnay,90
848,France,Romorantin,90
849,France,Sauvignon Blanc,90
850,US,Pinot Noir,90
851,Canada,Syrah,90
852,Bulgaria,Syrah,90
853,France,Pinot Noir,90
854,France,Sauvignon Blanc,90
855,US,Pinot Noir,90
856,Italy,Sangiovese,90
857,France,Rosé,90
858,Spain,Godello,90
859,Spain,Palomino,90
860,Italy,Red Blend,90
861,US,Tempranillo,90
862,Italy,Sangiovese,90
863,Italy,Red Blend,90
864,Spain,Tempranillo,90
865,Italy,Red Blend,90
866,Italy,Red Blend,90
867,Italy,Sangiovese,90
868,Italy,Red Blend,90
869,US,Cabernet Sauvignon,90
870,US,Viognier,92
871,US,Chardonnay,92
872,US,Chardonnay,92
873,Chile,Bordeaux-style Red Blend,92
874,Italy,Nebbiolo,92
875,France,Riesling,92
876,Italy,Nebbiolo,92
877,Italy,Nebbiolo,92
878,US,Zinfandel,92
879,US,Chardonnay,92
880,Italy,Pinot Nero,92
881,Italy,Nebbiolo,92
882,Portugal,Portuguese Red,92
883,Portugal,Portuguese Red,92
884,France,Riesling,92
885,US,Riesling,92
886,US,Syrah,92
887,US,Cabernet Sauvignon,92
888,US,Merlot,92
889,US,Syrah-Cabernet Sauvignon,92
890,US,Cabernet Sauvignon,92
891,US,Rhône-style Red Blend,92
892,Chile,Red Blend,92
893,US,Riesling,92
894,US,Red Blend,92
895,US,Cabernet Sauvignon,92
896,US,Chardonnay,92
897,Italy,White Blend,92
898,Italy,Red Blend,92
899,France,Gewürztraminer,92
900,Argentina,Malbec,93
901,US,Syrah,93
902,US,Chardonnay,93
903,France,Tannat-Cabernet,93
904,US,Syrah,93
905,US,Syrah,93
906,US,Chardonnay,93
907,France,Rosé,93
908,France,Rosé,93
909,France,Malbec,93
910,France,Rosé,93
911,France,Rosé,93
912,US,Cabernet Sauvignon,93
913,US,Sauvignon Blanc,93
914,US,Red Blend,93
915,US,Chardonnay,93
916,US,Cabernet Sauvignon,93
917,US,Syrah,93
918,US,Pinot Noir,93
919,Spain,Sherry,93
920,US,Pinot Noir,93
921,US,Sparkling Blend,93
922,France,Tannat-Merlot,93
923,US,Syrah,93
924,Spain,Tempranillo,93
925,US,Pinot Noir,93
926,US,Chardonnay,93
927,US,Pinot Noir,93
928,US,Pinot Noir,93
929,US,Pinot Noir,93
930,Italy,Red Blend,89
931,Portugal,Portuguese Red,89
932,Portugal,Portuguese Red,89
933,Portugal,Portuguese Red,89
934,France,Duras,89
935,US,Red Blend,89
936,Chile,Sauvignon Blanc,89
937,France,White Blend,89
938,Chile,Sauvignon Blanc,89
939,US,Chardonnay,89
940,Spain,Garnacha,89
941,US,Rhône-style Red Blend,89
942,Germany,Pinot Gris,89
943,Chile,Red Blend,89
944,Italy,Red Blend,89
945,US,Sparkling Blend,89
